dataset,model,signal,coverage,selective_accuracy,risk,n,small_n
CADEC,BERT-base,entropy,0.1,0.49559082892416223,0.5044091710758378,5669,False
CADEC,BERT-base,margin,1.0,0.3155759393191039,0.6844240606808961,5669,False
CADEC,BERT-base,margin,0.95,0.298923134051244,0.7010768659487561,5669,False
CADEC,BERT-base,margin,0.9,0.2757201646090535,0.7242798353909465,5669,False
CADEC,BERT-base,margin,0.85,0.24922183025523967,0.7507781697447603,5669,False
CADEC,BERT-base,margin,0.8,0.23721340388007053,0.7627865961199295,5669,False
CADEC,BERT-base,margin,0.75,0.229068673565381,0.770931326434619,5669,False
CADEC,BERT-base,margin,0.7,0.20634920634920634,0.7936507936507937,5669,False
CADEC,BERT-base,margin,0.65,0.19240162822252374,0.8075983717774763,5669,False
CADEC,BERT-base,margin,0.6,0.1796002351557907,0.8203997648442093,5669,False
CADEC,BERT-base,margin,0.55,0.14881334188582424,0.8511866581141758,5669,False
CADEC,BERT-base,margin,0.5,0.12028218694885362,0.8797178130511464,5669,False
CADEC,BERT-base,margin,0.45,0.10188087774294671,0.8981191222570533,5669,False
CADEC,BERT-base,margin,0.4,0.08245149911816578,0.9175485008818343,5669,False
CADEC,BERT-base,margin,0.35,0.0690176322418136,0.9309823677581864,5669,False
CADEC,BERT-base,margin,0.3,0.058788947677836566,0.9412110523221634,5669,False
CADEC,BERT-base,margin,0.25,0.047954866008462625,0.9520451339915373,5669,False
CADEC,BERT-base,margin,0.2,0.05202821869488536,0.9479717813051146,5669,False
CADEC,BERT-base,margin,0.15,0.06933019976498238,0.9306698002350177,5669,False
CADEC,BERT-base,margin,0.1,0.054673721340388004,0.9453262786596119,5669,False
CADEC,BERT-base,random,1.0,0.31557593931910394,0.684424060680896,5669,False
CADEC,BERT-base,random,0.95,0.3154845896769402,0.6845154103230597,5669,False
CADEC,BERT-base,random,0.9,0.31518714481677446,0.6848128551832255,5669,False
CADEC,BERT-base,random,0.85,0.31552189250881923,0.6844781074911808,5669,False
CADEC,BERT-base,random,0.8,0.3148589065255732,0.6851410934744269,5669,False
CADEC,BERT-base,random,0.75,0.31536923800564437,0.6846307619943557,5669,False
CADEC,BERT-base,random,0.7,0.31485260770975054,0.6851473922902495,5669,False
CADEC,BERT-base,random,0.65,0.3142876526458616,0.6857123473541384,5669,False
CADEC,BERT-base,random,0.6,0.31449147560258667,0.6855085243974133,5669,False
CADEC,BERT-base,random,0.55,0.31407953816549067,0.6859204618345094,5669,False
CADEC,BERT-base,random,0.5,0.31440917107583777,0.6855908289241622,5669,False
CADEC,BERT-base,random,0.45,0.3144200626959247,0.6855799373040753,5669,False
CADEC,BERT-base,random,0.4,0.3147486772486773,0.6852513227513227,5669,False
CADEC,BERT-base,random,0.35,0.3154408060453401,0.6845591939546599,5669,False
CADEC,BERT-base,random,0.3,0.3146384479717813,0.6853615520282187,5669,False
CADEC,BERT-base,random,0.25,0.3141396332863188,0.6858603667136812,5669,False
CADEC,BERT-base,random,0.2,0.3131393298059965,0.6868606701940034,5669,False
CADEC,BERT-base,random,0.15,0.3105757931844889,0.6894242068155111,5669,False
CADEC,BERT-base,random,0.1,0.3109347442680776,0.6890652557319223,5669,False
CADEC,BioBERT,combined,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,combined,0.95,0.43167471221685855,0.5683252877831415,5669,False
CADEC,BioBERT,combined,0.9,0.4552224181853812,0.5447775818146188,5669,False
CADEC,BioBERT,combined,0.85,0.4810126582278481,0.5189873417721519,5669,False
CADEC,BioBERT,combined,0.8,0.5105820105820106,0.4894179894179894,5669,False
CADEC,BioBERT,combined,0.75,0.5411571025399812,0.45884289746001883,5669,False
CADEC,BioBERT,combined,0.7,0.5731922398589065,0.42680776014109345,5669,False
CADEC,BioBERT,combined,0.65,0.6127544097693352,0.38724559023066485,5669,False
CADEC,BioBERT,combined,0.6,0.6504997060552616,0.34950029394473836,5669,False
CADEC,BioBERT,combined,0.55,0.6972418216805645,0.3027581783194355,5669,False
CADEC,BioBERT,combined,0.5,0.7171075837742504,0.28289241622574957,5669,False
CADEC,BioBERT,combined,0.45,0.7370689655172413,0.2629310344827587,5669,False
CADEC,BioBERT,combined,0.4,0.75,0.25,5669,False
CADEC,BioBERT,combined,0.35,0.744080604534005,0.25591939546599496,5669,False
CADEC,BioBERT,combined,0.3,0.7489711934156379,0.2510288065843621,5669,False
