dataset,model,n,small_n,spearman_margin_confidence,p_margin_confidence,spearman_margin_entropy,p_margin_entropy,margin_mean_std,confidence_std,entropy_std,mean_accuracy
MedMentions,FLAN-T5-base,491,False,0.2526476900394033,1.3757974143134058e-08,-0.05551394998450714,0.2194774847392651,0.05946570457270861,0.06273637331883357,0.2238419652837599,0.20977596741344195
MedMentions,BioMistral-7B,491,False,0.3231112062530878,2.1489250902384743e-13,0.10266006863604892,0.022905280225086058,0.060233436832662066,0.061024717142556695,0.22129984724229226,0.21792260692464357
MedMentions,Mistral-7B-Instruct-v0.1,491,False,0.27471095868164597,5.97155061856665e-10,-0.024273079789077973,0.5915690330440496,0.0625442690672965,0.07299293128800713,0.21956258503473494,0.21181262729124237
MedMentions,Llama3-OpenBioLLM-8B,491,False,0.4622045036425736,2.341061077137137e-27,-0.06525986182373485,0.14876268088620537,0.06259079878271243,0.07994824289441065,0.2460065413295103,0.22810590631364563
MedMentions,Meta-Llama-3-8B-Instruct,490,False,0.2765289966049517,4.741260464481363e-10,-0.06016678970228518,0.1836329816390623,0.05906944173938253,0.06587956859586472,0.2216117263457912,0.22040816326530613
CADEC,BERT-base,5669,False,-0.27195577857076264,1.084552544715643e-96,0.31540749619949676,3.802277678803732e-131,0.0550831270359999,0.012775203875301917,0.2689200464998475,0.3155759393191039
CADEC,BioBERT,5669,False,-0.3596285186833048,1.0970357271507867e-172,0.36555453483305506,8.79485544235756e-179,0.059236844909539635,0.012107279816432597,0.26693749272421474,0.4103016405009702
CADEC,PubMedBERT,5669,False,-0.3888940711302718,4.456991702941509e-204,0.3755870271385937,2.116883353737408e-189,0.05891393501645788,0.014369890183684082,0.2619895904552598,0.40818486505556534
CADEC,FLAN-T5-base,5668,False,-0.12779776408118484,4.506598357534973e-22,0.1778195048953147,1.7420284394400225e-41,0.03476397242932925,0.039368976927942376,0.2299728130887045,0.20518701482004234
CADEC,BioMistral-7B,5658,False,0.14072248887533315,2.0324384830303076e-26,0.07451826876332299,2.0022693635803618e-08,0.06196910718291585,0.06012611198083555,0.24095397599054347,0.24407917992223402
CADEC,Mistral-7B-Instruct-v0.1,5633,False,0.47659184751631184,0.0,0.027665260582184457,0.0378656521515847,0.06466164045633557,0.07664985460567122,0.20838643472864316,0.35700337298064977
CADEC,Llama3-OpenBioLLM-8B,233,True,0.7247963281624781,3.027336718483192e-39,-0.6977004494234254,2.591407698065086e-35,0.09830050786933564,0.071508075843763,0.20129983624096096,0.3562231759656652
CADEC,Meta-Llama-3-8B-Instruct,5193,False,0.6438012192413746,0.0,-0.5446541959104325,0.0,0.1289746730750275,0.14633974097625999,0.22620406307795188,0.3652994415559407
