coverage,n_keep,n_total,selective_accuracy,risk,dataset,model,signal,n,small_n
0.3,42.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,margin,139,True
0.25,35.0,139.0,0.17142857142857143,0.8285714285714285,SQuAD2,BioMistral-7B,margin,139,True
0.2,28.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,margin,139,True
0.15,21.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,margin,139,True
0.1,14.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,margin,139,True
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,combined,139,True
0.95,133.0,139.0,0.11278195488721804,0.887218045112782,SQuAD2,BioMistral-7B,combined,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,BioMistral-7B,combined,139,True
0.85,119.0,139.0,0.12605042016806722,0.8739495798319328,SQuAD2,BioMistral-7B,combined,139,True
0.8,112.0,139.0,0.13392857142857142,0.8660714285714286,SQuAD2,BioMistral-7B,combined,139,True
0.75,105.0,139.0,0.12380952380952381,0.8761904761904762,SQuAD2,BioMistral-7B,combined,139,True
0.7,98.0,139.0,0.1326530612244898,0.8673469387755102,SQuAD2,BioMistral-7B,combined,139,True
0.65,91.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined,139,True
0.6,84.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined,139,True
0.55,77.0,139.0,0.15584415584415584,0.8441558441558441,SQuAD2,BioMistral-7B,combined,139,True
0.5,70.0,139.0,0.17142857142857143,0.8285714285714285,SQuAD2,BioMistral-7B,combined,139,True
0.45,63.0,139.0,0.1746031746031746,0.8253968253968254,SQuAD2,BioMistral-7B,combined,139,True
0.4,56.0,139.0,0.19642857142857142,0.8035714285714286,SQuAD2,BioMistral-7B,combined,139,True
0.35,49.0,139.0,0.1836734693877551,0.8163265306122449,SQuAD2,BioMistral-7B,combined,139,True
0.3,42.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined,139,True
0.25,35.0,139.0,0.11428571428571428,0.8857142857142857,SQuAD2,BioMistral-7B,combined,139,True
0.2,28.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined,139,True
0.15,21.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,combined,139,True
0.1,14.0,139.0,0.07142857142857142,0.9285714285714286,SQuAD2,BioMistral-7B,combined,139,True
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,combined_3,139,True
0.95,133.0,139.0,0.11278195488721804,0.887218045112782,SQuAD2,BioMistral-7B,combined_3,139,True
0.9,126.0,139.0,0.09523809523809523,0.9047619047619048,SQuAD2,BioMistral-7B,combined_3,139,True
0.85,119.0,139.0,0.09243697478991597,0.907563025210084,SQuAD2,BioMistral-7B,combined_3,139,True
0.8,112.0,139.0,0.08035714285714286,0.9196428571428571,SQuAD2,BioMistral-7B,combined_3,139,True
0.75,105.0,139.0,0.08571428571428572,0.9142857142857143,SQuAD2,BioMistral-7B,combined_3,139,True
0.7,98.0,139.0,0.08163265306122448,0.9183673469387755,SQuAD2,BioMistral-7B,combined_3,139,True
0.65,91.0,139.0,0.08791208791208792,0.9120879120879121,SQuAD2,BioMistral-7B,combined_3,139,True
0.6,84.0,139.0,0.09523809523809523,0.9047619047619048,SQuAD2,BioMistral-7B,combined_3,139,True
0.55,77.0,139.0,0.1038961038961039,0.8961038961038961,SQuAD2,BioMistral-7B,combined_3,139,True
0.5,70.0,139.0,0.11428571428571428,0.8857142857142857,SQuAD2,BioMistral-7B,combined_3,139,True
0.45,63.0,139.0,0.12698412698412698,0.873015873015873,SQuAD2,BioMistral-7B,combined_3,139,True
0.4,56.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined_3,139,True
0.35,49.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined_3,139,True
0.3,42.0,139.0,0.16666666666666666,0.8333333333333334,SQuAD2,BioMistral-7B,combined_3,139,True
0.25,35.0,139.0,0.2,0.8,SQuAD2,BioMistral-7B,combined_3,139,True
0.2,28.0,139.0,0.17857142857142858,0.8214285714285714,SQuAD2,BioMistral-7B,combined_3,139,True
0.15,21.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,combined_3,139,True
0.1,14.0,139.0,0.07142857142857142,0.9285714285714286,SQuAD2,BioMistral-7B,combined_3,139,True
