dataset,dataset_label,model_name,n,frac_stable,frac_correct,n_stable_correct,n_stable_but_wrong,n_unstable_correct,n_unstable_wrong,frac_stable_correct,frac_stable_but_wrong,frac_unstable_correct,frac_unstable_wrong,p_wrong_given_stable,pearson_entropy_vs_error,spearman_entropy_vs_error
MedMentions,MedMentions (biomedical literature),PubMedBERT,491,0.6109979633401222,0.032586558044806514,11,289,5,186,0.02240325865580448,0.5885947046843177,0.010183299389002037,0.3788187372708758,0.9633333333333334,0.034869435143343765,0.0318359256561033
MedMentions,MedMentions (biomedical literature),BERT-base,491,0.5926680244399185,0.038696537678207736,13,278,6,194,0.026476578411405296,0.5661914460285132,0.012219959266802444,0.395112016293279,0.9553264604810997,0.050816481468783245,0.049502340609283796
MedMentions,MedMentions (biomedical literature),BioBERT,491,0.5824847250509165,0.07128309572301425,28,258,7,198,0.05702647657841141,0.5254582484725051,0.014256619144602852,0.40325865580448067,0.9020979020979021,0.12658302359387422,0.13331864467436516
MedMentions,MedMentions (biomedical literature),BioMistral-7B,491,0.5071283095723014,0.21792260692464357,58,191,49,193,0.11812627291242363,0.3890020366598778,0.09979633401221996,0.39307535641547864,0.7670682730923695,0.04981429864874531,0.043369200951599504
MedMentions,MedMentions (biomedical literature),Meta-Llama-3-8B-Instruct,491,0.4725050916496945,0.219959266802444,60,172,48,211,0.12219959266802444,0.35030549898167007,0.09775967413441955,0.42973523421588594,0.7413793103448276,0.0929679066632949,0.09208947437382618
MedMentions,MedMentions (biomedical literature),Mistral-7B-Instruct-v0.1,491,0.48268839103869654,0.21181262729124237,66,171,38,216,0.13441955193482688,0.34826883910386963,0.07739307535641547,0.439918533604888,0.7215189873417722,0.12766553214086226,0.14030365725504204
MedMentions,MedMentions (biomedical literature),FLAN-T5-base,491,0.4725050916496945,0.20977596741344195,64,168,39,220,0.13034623217922606,0.3421588594704684,0.07942973523421588,0.4480651731160896,0.7241379310344828,0.14563200968720758,0.14366682249123539
MedMentions,MedMentions (biomedical literature),Llama3-OpenBioLLM-8B,491,0.2830957230142566,0.22810590631364563,46,93,66,286,0.09368635437881874,0.1894093686354379,0.13441955193482688,0.5824847250509165,0.6690647482014389,0.23148493843520532,0.24352994984145057
