dataset,model,n,B,best_single_signal,best_single_AURC,AURC_combined_3,delta_point,delta_ci_low,delta_ci_high,p_vs_best,p_vs_best_preregistered,significant,AURC_entropy,delta_vs_entropy,delta_vs_entropy_ci_low,delta_vs_entropy_ci_high,p_vs_entropy,p_vs_entropy_preregistered,combined3_better_than_entropy,AURC_confidence,delta_vs_confidence,delta_vs_confidence_ci_low,delta_vs_confidence_ci_high,p_vs_confidence,p_vs_confidence_preregistered,combined3_better_than_confidence,AURC_margin,delta_vs_margin,delta_vs_margin_ci_low,delta_vs_margin_ci_high,p_vs_margin,p_vs_margin_preregistered,combined3_better_than_margin,AURC_combined2,delta_vs_combined2,delta_vs_combined2_ci_low,delta_vs_combined2_ci_high,p_vs_combined2,p_vs_combined2_preregistered,combined3_better_than_combined2
CADEC,BERT-base,4712,20000,entropy,0.45964661337166557,0.5350623667962306,0.07541575342456508,0.06493437043453795,0.0845822703998311,0.0,9.99950002499875e-05,False,0.45964661337166557,0.07541575342456508,0.06493437043453795,0.0845822703998311,0.0,9.99950002499875e-05,False,0.46482205355743755,0.0702403132387931,0.06167709053044678,0.07796899275361066,0.0,9.99950002499875e-05,False,0.731335068366594,-0.19627270157036336,-0.20662288160500472,-0.18572992617774528,0.0,9.99950002499875e-05,True,0.4430688470886898,0.09199351970754083,0.08524655734739349,0.0997640622729333,0.0,9.99950002499875e-05,False
CADEC,BioBERT,4712,20000,entropy,0.3291344757141022,0.3428425827478068,0.01370810703370462,0.00043613863132891816,0.020411137661772303,0.0418,0.04189790510474476,False,0.3291344757141022,0.01370810703370462,0.00043613863132891816,0.020411137661772303,0.0418,0.04189790510474476,False,0.33499895624456566,0.007843626503241163,0.00018555669655472581,0.016382159118887143,0.0452,0.045297735113244336,False,0.61672867649824,-0.2738860937504332,-0.2838249033491427,-0.26334673467457637,0.0,9.99950002499875e-05,True,0.3033990379492636,0.03944354479854323,0.032084398854248075,0.04789288146233062,0.0,9.99950002499875e-05,False
CADEC,PubMedBERT,4712,20000,confidence,0.32655756328122265,0.342007363342269,0.015449800061046348,0.005519929953943434,0.022513197526069437,0.0012,0.0012999350032498376,False,0.3288575402132679,0.013149823129001093,-0.0013031175490569424,0.01839157691956952,0.0915,0.09159542022898855,False,0.32655756328122265,0.015449800061046348,0.005519929953943434,0.022513197526069437,0.0012,0.0012999350032498376,False,0.6203850000870947,-0.27837763674482574,-0.28908823570107495,-0.26846384536541,0.0,9.99950002499875e-05,True,0.3045470055091704,0.03746035783309859,0.029473888790940178,0.04529058114715789,0.0,9.99950002499875e-05,False
CADEC,FLAN-T5-base,4712,20000,entropy,0.6887196500157173,0.7044145365307394,0.015694886515022044,0.004058777677887038,0.02024585280393879,0.0039,0.0039998000099995,False,0.6887196500157173,0.015694886515022044,0.004058777677887038,0.02024585280393879,0.0039,0.0039998000099995,False,0.7419570964012306,-0.037542559870491266,-0.045512938010266624,-0.03198975560108069,0.0,9.99950002499875e-05,True,0.7202994622823027,-0.015884925751563306,-0.024083620707328703,-0.0074311765046625,0.0002,0.0002999850007499625,True,0.6959646109010617,0.008449925629677724,0.0030711517152611388,0.013823293051292583,0.0016,0.0016999150042497876,False
CADEC,BioMistral-7B,4711,20000,entropy,0.689279681598507,0.7109175691805473,0.021637887582040216,0.015230895370331569,0.031612336502722944,0.0,9.99950002499875e-05,False,0.689279681598507,0.021637887582040216,0.015230895370331569,0.031612336502722944,0.0,9.99950002499875e-05,False,0.73778575522827,-0.026868186047722675,-0.03381582297474191,-0.018530399838554465,0.0,9.99950002499875e-05,True,0.7411941137554541,-0.030276544574906805,-0.037438181594792834,-0.02235003900679106,0.0,9.99950002499875e-05,True,0.6881390202618319,0.022778548918715336,0.016594534798414225,0.029201754216751016,0.0,9.99950002499875e-05,False
CADEC,Mistral-7B-Instruct-v0.1,4712,20000,entropy,0.7425214246929248,0.7679380750976191,0.02541665040469432,0.01693489560660345,0.03194821286484704,0.0,9.99950002499875e-05,False,0.7425214246929248,0.02541665040469432,0.01693489560660345,0.03194821286484704,0.0,9.99950002499875e-05,False,0.7829948259955424,-0.015056750897923243,-0.022524546015349065,-0.008998729222627372,0.0,9.99950002499875e-05,True,0.78881928549397,-0.020881210396350824,-0.02746657044479517,-0.01403020530190694,0.0,9.99950002499875e-05,True,0.745039945469862,0.02289812962775717,0.017346627050741373,0.027554710844131365,0.0,9.99950002499875e-05,False
CADEC,Llama3-OpenBioLLM-8B,4712,20000,entropy,0.7920113716978381,0.8148315894796188,0.02282021778178067,0.016649517171237294,0.028382114720011842,0.0,9.99950002499875e-05,False,0.7920113716978381,0.02282021778178067,0.016649517171237294,0.028382114720011842,0.0,9.99950002499875e-05,False,0.8253643847970297,-0.010532795317410915,-0.016408534310433678,-0.005336342037683156,0.0,9.99950002499875e-05,True,0.842530735511398,-0.027699146031779254,-0.03339304495089597,-0.022544843126873135,0.0,9.99950002499875e-05,True,0.7917370236612706,0.023094565818348123,0.017493577072535033,0.02846585545358973,0.0,9.99950002499875e-05,False
CADEC,Meta-Llama-3-8B-Instruct,4712,20000,entropy,0.766114699734674,0.7767632011955051,0.010648501460831072,0.00347117903768914,0.017276728047451572,0.0022,0.0022998850057497125,False,0.766114699734674,0.010648501460831072,0.00347117903768914,0.017276728047451572,0.0022,0.0022998850057497125,False,0.7968455669733023,-0.020082365777797206,-0.026676191011416554,-0.014435231514179995,0.0,9.99950002499875e-05,True,0.809086815139468,-0.03232361394396288,-0.038409390590352824,-0.026164860538688044,0.0,9.99950002499875e-05,True,0.7657730268211866,0.010990174374318484,0.006341255306686078,0.016573487220035436,0.0,9.99950002499875e-05,False
