dataset,dataset_label,model_name,n,frac_stable,frac_correct,n_stable_correct,n_stable_but_wrong,n_unstable_correct,n_unstable_wrong,frac_stable_correct,frac_stable_but_wrong,frac_unstable_correct,frac_unstable_wrong,p_wrong_given_stable,pearson_entropy_vs_error,spearman_entropy_vs_error
CADEC,CADEC (patient-generated health text),Mistral-7B-Instruct-v0.1,4712,0.4138370118845501,0.12860780984719863,393,1557,213,2549,0.08340407470288624,0.33043293718166383,0.0452037351443124,0.5409592529711376,0.7984615384615384,0.18577197729350708,0.18438062623566864
CADEC,CADEC (patient-generated health text),FLAN-T5-base,4712,0.42232597623089985,0.17911714770797962,519,1471,325,2397,0.11014431239388794,0.3121816638370119,0.06897283531409168,0.5087011884550084,0.7391959798994975,0.18250251583894392,0.18128800145115845
CADEC,CADEC (patient-generated health text),Meta-Llama-3-8B-Instruct,4712,0.3425297113752122,0.09889643463497454,305,1309,161,2937,0.06472835314091681,0.2778013582342954,0.03416808149405773,0.62330220713073,0.8110285006195787,0.2096566339668848,0.20715260664800556
CADEC,CADEC (patient-generated health text),BioMistral-7B,4711,0.36234345149649755,0.17618340055189982,468,1239,362,2642,0.09934196561239651,0.26300148588410105,0.0768414349395033,0.5608151135639992,0.7258347978910369,0.20786523476014532,0.2078702991103993
CADEC,CADEC (patient-generated health text),BERT-base,4712,0.5012733446519525,0.3414685908319185,1287,1075,322,2028,0.27313242784380304,0.2281409168081494,0.06833616298811546,0.4303904923599321,0.4551227773073666,0.45940892310115156,0.464087934025305
CADEC,CADEC (patient-generated health text),PubMedBERT,4712,0.6003820033955858,0.4371816638370119,1959,870,101,1782,0.4157470288624788,0.18463497453310695,0.021434634974533108,0.37818336162988114,0.3075291622481442,0.6008022111238901,0.6246711471747268
CADEC,CADEC (patient-generated health text),BioBERT,4712,0.5948641765704584,0.4401528013582343,1940,863,134,1775,0.41171477079796265,0.18314940577249575,0.028438030560271648,0.37669779286926997,0.30788440956118446,0.5953521779294607,0.6154648084900138
CADEC,CADEC (patient-generated health text),Llama3-OpenBioLLM-8B,4712,0.17572156196943972,0.07597623089983022,156,672,202,3682,0.03310696095076401,0.14261460101867574,0.042869269949066216,0.7814091680814941,0.8115942028985508,0.20361726357412083,0.19093603650001809
