pair,dataset,n_paired,n_bio_unpaired,n_gen_unpaired,rank_biserial,rb_ci95_low,rb_ci95_high,wilcoxon_p_holm,mwu_p_bh_fdr,wilcoxon_p,mwu_p_sensitivity,interpretation,model_biomedical,model_general,n_joined_before_nan_drop,pairing_loss_vs_bio,mean_H_bio,mean_H_gen,median_diff_bio_minus_gen,mean_diff_bio_minus_gen,n_ties_zero_diff,wilcoxon_stat,mwu_stat_sensitivity,status,effect_meets_threshold,supports_hypothesis,supports_under_bh_on_mwu
pair1_biobert_vs_bertbase,CADEC,4712,4712,4712,-0.2711367400937917,-0.32084233922795563,-0.2237675399560186,5.2356926873730145e-27,4.631309766260118e-12,1.745230895791005e-27,1.543769922086706e-12,supports,BioBERT,BERT-base,4712,0,0.2443413842586137,0.2852287060245552,0.0,-0.04088732176594147,2600,813166.5,10260460.5,ok,True,True,True
pair1_biobert_vs_bertbase,POOLED,4712,4712,4712,-0.2711367400937917,-0.31847282779919184,-0.22423760492115935,,,1.745230895791005e-27,1.543769922086706e-12,descriptive (outside Holm family),BioBERT,BERT-base,4712,0,0.2443413842586137,0.2852287060245552,0.0,-0.04088732176594147,2600,813166.5,10260460.5,ok,True,,
pair2_biomistral_vs_mistral,CADEC,4711,4711,4712,0.15747095180886703,0.11614437868299565,0.1978087183569442,1.0,1.0,0.9999999999999595,0.9999999997934977,effect exceeds threshold in the OPPOSITE direction,BioMistral-7B,Mistral-7B-Instruct-v0.1,4712,0,0.32851262722767344,0.2907281361427599,0.0,0.03778449108491358,1716,2596502.5,11897924.0,ok,True,False,False
pair2_biomistral_vs_mistral,POOLED,4711,4711,4712,0.15747095180886703,0.11701559249828793,0.19663680621640034,,,0.9999999999999595,0.9999999997934977,descriptive (outside Holm family),BioMistral-7B,Mistral-7B-Instruct-v0.1,4712,0,0.32851262722767344,0.2907281361427599,0.0,0.03778449108491358,1716,2596502.5,11897924.0,ok,True,,
pair3_openbiollm_vs_llama3,CADEC,4712,4712,4712,0.5298870281694067,0.49929010260928713,0.5605818726057273,1.0,1.0,1.0,1.0,effect exceeds threshold in the OPPOSITE direction,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,4712,0,0.5150003074084831,0.34528511488737507,0.17762266063788207,0.1697151925211081,1040,5158494.5,14511770.0,ok,True,False,False
pair3_openbiollm_vs_llama3,POOLED,4712,4712,4712,0.5298870281694067,0.49949599687907464,0.5598992488914282,,,1.0,1.0,descriptive (outside Holm family),Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,4712,0,0.5150003074084831,0.34528511488737507,0.17762266063788207,0.1697151925211081,1040,5158494.5,14511770.0,ok,True,,
