pair,dataset,n_paired,n_bio_unpaired,n_gen_unpaired,rank_biserial,rb_ci95_low,rb_ci95_high,wilcoxon_p_holm,mwu_p_bh_fdr,wilcoxon_p,mwu_p_sensitivity,interpretation,model_biomedical,model_general,n_joined_before_nan_drop,pairing_loss_vs_bio,mean_H_bio,mean_H_gen,median_diff_bio_minus_gen,mean_diff_bio_minus_gen,n_ties_zero_diff,wilcoxon_stat,mwu_stat_sensitivity,status,effect_meets_threshold,supports_hypothesis,supports_under_bh_on_mwu
pair1_biobert_vs_bertbase,CADEC,4712,4712,4712,-0.2711367400937917,-0.32084233922795563,-0.2237675399560186,5.2356926873730145e-27,4.631309766260118e-12,1.745230895791005e-27,1.543769922086706e-12,supports,BioBERT,BERT-base,4712,0,0.2443413842586137,0.2852287060245552,0.0,-0.04088732176594147,2600,813166.5,10260460.5,ok,True,True,True
pair1_biobert_vs_bertbase,POOLED,4712,4712,4712,-0.2711367400937917,-0.31847282779919184,-0.22423760492115935,,,1.745230895791005e-27,1.543769922086706e-12,descriptive (outside Holm family),BioBERT,BERT-base,4712,0,0.2443413842586137,0.2852287060245552,0.0,-0.04088732176594147,2600,813166.5,10260460.5,ok,True,,
pair2_biomistral_vs_mistral,CADEC,4711,4711,4712,0.16535256393065112,0.12411903563345314,0.20575384403970445,1.0,1.0,0.9999999999999977,0.9999999999599101,effect exceeds threshold in the OPPOSITE direction,BioMistral-7B,Mistral-7B-Instruct-v0.1,4712,0,0.3302089344295704,0.290775850469966,0.0,0.03943308395960443,1720,2607206.0,11930281.0,ok,True,False,False
pair2_biomistral_vs_mistral,POOLED,4711,4711,4712,0.16535256393065112,0.1252438987704795,0.2040833755050391,,,0.9999999999999977,0.9999999999599101,descriptive (outside Holm family),BioMistral-7B,Mistral-7B-Instruct-v0.1,4712,0,0.3302089344295704,0.290775850469966,0.0,0.03943308395960443,1720,2607206.0,11930281.0,ok,True,,
pair3_openbiollm_vs_llama3,CADEC,4712,4712,4712,0.5305722676280483,0.4999481836470567,0.5613919687797808,1.0,1.0,1.0,1.0,effect exceeds threshold in the OPPOSITE direction,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,4712,0,0.5153800527709185,0.34533281908845054,0.17762266063788207,0.17004723368246794,1040,5160805.0,14516820.5,ok,True,False,False
pair3_openbiollm_vs_llama3,POOLED,4712,4712,4712,0.5305722676280483,0.5005340076847775,0.5605684356412189,,,1.0,1.0,descriptive (outside Holm family),Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,4712,0,0.5153800527709185,0.34533281908845054,0.17762266063788207,0.17004723368246794,1040,5160805.0,14516820.5,ok,True,,
