pair,dataset,n_paired,n_bio_unpaired,n_gen_unpaired,rank_biserial,rb_ci95_low,rb_ci95_high,wilcoxon_p_holm,wilcoxon_p,mwu_p_sensitivity,interpretation,model_biomedical,model_general,n_joined_before_nan_drop,pairing_loss_vs_bio,mean_H_bio,mean_H_gen,median_diff_bio_minus_gen,mean_diff_bio_minus_gen,n_ties_zero_diff,wilcoxon_stat,mwu_stat_sensitivity,status,effect_meets_threshold,supports_hypothesis
pair1_biobert_vs_bertbase,CADEC,5022,5022,5022,-0.2832111752695719,-0.3295736291807529,-0.23870293410203033,9.13546530358391e-31,1.827093060716782e-31,9.61367423208527e-15,supports,BioBERT,BERT-base,5022,0,0.22695122254438185,0.268491940278664,0.0,-0.04154071773428213,2783,898738.5,11597516.0,ok,True,True
pair1_biobert_vs_bertbase,MedMentions,44333,44333,44333,-0.25396660376447744,-0.26583921540676386,-0.24154862934505417,0.0,0.0,4.114100756333313e-302,supports,BioBERT,BERT-base,44333,0,0.2533209673696751,0.32292451875149647,0.0,-0.0696035513818214,12617,187615532.0,845929238.5,ok,True,True
pair1_biobert_vs_bertbase,POOLED,49355,49355,49355,-0.255232885250567,-0.26751645701581644,-0.2438559105083111,,0.0,2.561310616124732e-304,descriptive (outside Holm family),BioBERT,BERT-base,49355,0,0.2506377770442243,0.31738586189625256,0.0,-0.06674808485202822,15400,214674648.5,1057361346.5,ok,True,
pair2_biomistral_vs_mistral,CADEC,5021,5022,5021,0.12343384520136469,0.08421106483138827,0.1644848645647395,1.0,0.9999999990935705,0.9999999170979376,effect exceeds threshold in the OPPOSITE direction,BioMistral-7B,Mistral-7B-Instruct-v0.1,5022,1,0.29561055479277903,0.2672388544822195,0.0,0.028371700310559533,1859,2808979.5,13340725.5,ok,True,False
pair2_biomistral_vs_mistral,MedMentions,43887,44152,44001,-0.017607573717744823,-0.031305088560875355,-0.0031752103715473757,0.027000319455239744,0.006750079863809936,0.005464091196941204,significant but below the interpretable-effect threshold,BioMistral-7B,Mistral-7B-Instruct-v0.1,44333,265,0.2216554424377582,0.22474020081233867,0.0,-0.0030847583745805163,17672,168787898.0,962371384.0,ok,False,False
pair2_biomistral_vs_mistral,POOLED,48908,49174,49022,-0.002568669362093749,-0.0160306511237549,0.01062928824616295,,0.35142276208059575,0.26552354253309296,descriptive (outside Holm family),BioMistral-7B,Mistral-7B-Instruct-v0.1,49355,266,0.22924783262207485,0.22910320359463346,0.0,0.0001446290274414071,19531,215205162.0,1202691404.0,ok,False,
pair3_openbiollm_vs_llama3,CADEC,5016,5019,5018,0.5024441670902801,0.47038093310854484,0.5336494538714105,1.0,1.0,1.0,effect exceeds threshold in the OPPOSITE direction,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,5022,3,0.4642071530218101,0.31577441442355214,0.12895093574484717,0.1484327385982579,1122,5696941.5,16196823.0,ok,True,False
pair3_openbiollm_vs_llama3,MedMentions,43716,44058,43930,0.41315085714788036,0.40227548705637306,0.42445657519378227,1.0,1.0,1.0,effect exceeds threshold in the OPPOSITE direction,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,44333,342,0.3539119063970787,0.24261165595870327,0.0,0.11130025043837538,12221,350449584.5,1184676257.0,ok,True,False
pair3_openbiollm_vs_llama3,POOLED,48732,49077,48948,0.4229845192659558,0.41228368930229936,0.4337905805500285,,1.0,1.0,descriptive (outside Holm family),Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,49355,345,0.365264630624889,0.2501423215677421,0.0,0.11512230905714685,13343,445542397.5,1476559502.0,ok,True,
