dataset,model,signal,coverage,selective_accuracy,risk
CADEC,BioBERT,combined,0.55,0.6972418216805645,0.3027581783194355
CADEC,BioBERT,combined,0.5,0.7171075837742504,0.28289241622574957
CADEC,BioBERT,combined,0.45,0.7370689655172413,0.2629310344827587
CADEC,BioBERT,combined,0.4,0.75,0.25
CADEC,BioBERT,combined,0.35,0.744080604534005,0.25591939546599496
CADEC,BioBERT,combined,0.3,0.7489711934156379,0.2510288065843621
CADEC,BioBERT,combined,0.25,0.7440056417489421,0.2559943582510579
CADEC,BioBERT,combined,0.2,0.7522045855379189,0.2477954144620811
CADEC,BioBERT,combined,0.15,0.7602820211515864,0.23971797884841362
CADEC,BioBERT,combined,0.1,0.7619047619047619,0.23809523809523814
CADEC,BioBERT,entropy,1.0,0.4103016405009702,0.5896983594990298
CADEC,BioBERT,entropy,0.95,0.43167471221685855,0.5683252877831415
CADEC,BioBERT,entropy,0.9,0.4554183813443073,0.5445816186556927
CADEC,BioBERT,entropy,0.85,0.4810126582278481,0.5189873417721519
CADEC,BioBERT,entropy,0.8,0.5105820105820106,0.4894179894179894
CADEC,BioBERT,entropy,0.75,0.5395108184383819,0.4604891815616181
CADEC,BioBERT,entropy,0.7,0.5731922398589065,0.42680776014109345
CADEC,BioBERT,entropy,0.65,0.6108548168249661,0.3891451831750339
CADEC,BioBERT,entropy,0.6,0.647854203409759,0.35214579659024103
CADEC,BioBERT,entropy,0.55,0.6475304682488775,0.3524695317511225
CADEC,BioBERT,entropy,0.5,0.6529100529100529,0.3470899470899471
CADEC,BioBERT,entropy,0.45,0.6547805642633229,0.3452194357366771
CADEC,BioBERT,entropy,0.4,0.6556437389770723,0.3443562610229277
CADEC,BioBERT,entropy,0.35,0.6619647355163728,0.3380352644836272
CADEC,BioBERT,entropy,0.3,0.6690182245737801,0.33098177542621987
CADEC,BioBERT,entropy,0.25,0.6791255289139634,0.3208744710860366
CADEC,BioBERT,entropy,0.2,0.671957671957672,0.328042328042328
CADEC,BioBERT,entropy,0.15,0.6839012925969448,0.31609870740305523
CADEC,BioBERT,entropy,0.1,0.691358024691358,0.308641975308642
CADEC,BioBERT,mapping_confidence,1.0,0.4103016405009702,0.5896983594990298
CADEC,BioBERT,mapping_confidence,0.95,0.43167471221685855,0.5683252877831415
CADEC,BioBERT,mapping_confidence,0.9,0.4536547129139722,0.5463452870860278
CADEC,BioBERT,mapping_confidence,0.85,0.4741647644739573,0.5258352355260427
CADEC,BioBERT,mapping_confidence,0.8,0.5004409171075838,0.49955908289241624
CADEC,BioBERT,mapping_confidence,0.75,0.5246942615239887,0.4753057384760113
CADEC,BioBERT,mapping_confidence,0.7,0.5512723607961704,0.44872763920382963
CADEC,BioBERT,mapping_confidence,0.65,0.5649932157394844,0.43500678426051564
CADEC,BioBERT,mapping_confidence,0.6,0.5958259847148736,0.4041740152851264
CADEC,BioBERT,mapping_confidence,0.55,0.6234765875561257,0.37652341244387433
CADEC,BioBERT,mapping_confidence,0.5,0.6440917107583775,0.35590828924162254
CADEC,BioBERT,mapping_confidence,0.45,0.6606583072100314,0.3393416927899686
CADEC,BioBERT,mapping_confidence,0.4,0.667989417989418,0.332010582010582
CADEC,BioBERT,mapping_confidence,0.35,0.6921914357682619,0.3078085642317381
CADEC,BioBERT,mapping_confidence,0.3,0.7019400352733686,0.29805996472663143
CADEC,BioBERT,mapping_confidence,0.25,0.7108603667136812,0.28913963328631875
CADEC,BioBERT,mapping_confidence,0.2,0.7231040564373897,0.27689594356261027
CADEC,BioBERT,mapping_confidence,0.15,0.736780258519389,0.263219741480611
CADEC,BioBERT,mapping_confidence,0.1,0.7548500881834215,0.24514991181657853
CADEC,BioBERT,random,1.0,0.4103016405009702,0.5896983594990298
