dataset,dataset_label,model_name,n,frac_stable,frac_correct,n_stable_correct,n_stable_but_wrong,n_unstable_correct,n_unstable_wrong,frac_stable_correct,frac_stable_but_wrong,frac_unstable_correct,frac_unstable_wrong,p_wrong_given_stable,pearson_entropy_vs_error,spearman_entropy_vs_error
CADEC,CADEC (patient-generated health text),Llama3-OpenBioLLM-8B,5669,0.9777738578232492,0.42212030340448053,2385,3158,8,118,0.4207091197742106,0.5570647380490387,0.001411183630269889,0.020814958546480862,0.5697275843406098,0.10622369966014612,0.10963008841507092
CADEC,CADEC (patient-generated health text),FLAN-T5-base,5668,0.5068807339449541,0.20518701482004234,746,2127,417,2378,0.13161609033168667,0.37526464361326745,0.07357092448835569,0.4195483415666902,0.740341106856944,0.13757048861773785,0.1381517512579379
CADEC,CADEC (patient-generated health text),Meta-Llama-3-8B-Instruct,5212,0.7045280122793554,0.3656945510360706,1853,1819,53,1487,0.35552570990023025,0.3490023023791251,0.010168841135840368,0.2853031465848043,0.49537037037037035,0.421905168715742,0.4424111267569334
CADEC,CADEC (patient-generated health text),Mistral-7B-Instruct-v0.1,5633,0.6192082371737972,0.35700337298064977,1579,1909,432,1713,0.2803124445233446,0.33889579265045267,0.07669092845730517,0.30410083436889757,0.5473050458715596,0.268536838932047,0.26917764704635727
CADEC,CADEC (patient-generated health text),BioMistral-7B,5659,0.45644106732638273,0.24403604877186783,811,1772,570,2506,0.14331153914119102,0.31312952818519174,0.10072450963067679,0.44283442304294046,0.6860240030971738,0.16852614348719502,0.1677727897820602
CADEC,CADEC (patient-generated health text),BERT-base,5669,0.5247839125066149,0.3155759393191039,1495,1480,294,2400,0.26371494090668546,0.2610689715999294,0.05186099841241842,0.42335508908096664,0.49747899159663866,0.43699309633705785,0.44533355055561935
CADEC,CADEC (patient-generated health text),PubMedBERT,5669,0.6143940730287528,0.40818486505556534,2242,1241,72,2114,0.39548421238313636,0.21890986064561652,0.012700652672429,0.37290527429881815,0.35630203847258113,0.5647911144767443,0.5922338396326127
CADEC,CADEC (patient-generated health text),BioBERT,5669,0.6027518080790263,0.4103016405009702,2213,1204,113,2139,0.390368671723408,0.21238313635561828,0.01993296877756218,0.37731522314341154,0.3523558677202224,0.5619162508230222,0.5857133271850766
