pair,dataset,model_bio,model_gen,n_paired,mean_bio,mean_gen,paired_diff,wilcoxon_stat,wilcoxon_p,effect_size,median_diff,median_diff_ci95_low,median_diff_ci95_high,nonzero_frac_bio,nonzero_frac_gen,mean_nonzero_bio,mean_nonzero_gen,supports_hypothesis
pair1_biobert_vs_bertbase,CADEC,BioBERT,BERT-base,5669,0.19659299790981424,0.22652138858434268,-0.029928390674528432,1281146.5,5.689421821115656e-23,-0.18457943925233644,0.0,0.0,0.0,0.3972481919209737,0.47521608749338506,0.4948870804399365,0.47667028651991045,True
pair1_biobert_vs_bertbase,MedMentions,BioBERT,BERT-base,491,0.1571369866993511,0.15904068187496836,-0.0019036951756172538,21100.0,0.3447587240398982,0.034013605442176874,0.0,0.0,0.0,0.4175152749490835,0.4073319755600815,0.3763622461921044,0.3904448740030474,False
pair2_biomistral_vs_mistral,CADEC,BioMistral-7B,Mistral-7B-Instruct-v0.1,5624,0.23285991807378525,0.14978238781322567,0.08307753026055958,4018628.0,1.0,0.33353063036401304,0.0,0.0,0.0,0.5448079658605974,0.3812233285917496,0.4274165075871306,0.3928993232563345,False
pair2_biomistral_vs_mistral,MedMentions,BioMistral-7B,Mistral-7B-Instruct-v0.1,491,0.19735026750368065,0.20442441221407265,-0.007074144710392,19605.0,0.28947421671637164,-0.0456140350877193,0.0,0.0,0.0,0.49287169042769857,0.5173116089613035,0.40040901381945126,0.3951668755791719,False
pair3_openbiollm_vs_llama3,CADEC,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,5212,0.007847204692442704,0.13535459742586123,-0.12750739273341852,24086.5,4.528795458518947e-239,-0.9299809038828771,0.0,0.0,0.0,0.02168073676132003,0.29547198772064465,0.36194363590275547,0.4580962089503823,True
pair3_openbiollm_vs_llama3,MedMentions,Llama3-OpenBioLLM-8B,Meta-Llama-3-8B-Instruct,491,0.32514374247968414,0.20938849171953297,0.11575525076015117,48928.5,0.9999999999999826,0.41530054644808745,0.09669165371699798,0.0,0.140187246849242,0.7169042769857433,0.5274949083503055,0.45353857260660485,0.3969488395146359,False
